starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 24 23:44:00 2015	1422164640	0	3318	3318	3128
Sat Jan 24 23:43:53 2015	1422164633	0	3319	3319	3180
Sat Jan 24 23:43:50 2015	1422164630	0	3322	3322	3307
Sat Jan 24 23:43:42 2015	1422164622	0	3324	3324	3250
Sat Jan 24 23:43:42 2015	1422164622	0	3324	3325	3257
Sat Jan 24 23:43:44 2015	1422164624	0	3331	3331	3245
Sat Jan 24 23:43:38 2015	1422164618	0	3336	3336	3233
Sat Jan 24 23:43:40 2015	1422164620	1	3338	3338	3101
Sat Jan 24 23:43:56 2015	1422164636	0	3340	3340	3297
Sat Jan 24 23:43:46 2015	1422164626	0	3341	3341	3287
Sat Jan 24 23:43:40 2015	1422164620	0	3341	3342	3267
Sat Jan 24 23:43:56 2015	1422164636	0	3343	3344	3194
Sat Jan 24 23:43:52 2015	1422164632	0	3343	3344	3273
Sat Jan 24 23:44:00 2015	1422164640	0	3344	3345	3144
Sat Jan 24 23:43:49 2015	1422164629	0	3349	3350	3326
Sat Jan 24 23:43:35 2015	1422164615	78	3274	3352	3261
Sat Jan 24 23:44:01 2015	1422164641	0	3356	3356	3229
Sat Jan 24 23:43:59 2015	1422164639	0	3358	3358	3142
Sat Jan 24 23:43:49 2015	1422164629	0	3358	3359	3272
Sat Jan 24 23:43:59 2015	1422164639	0	3361	3362	3278
Sat Jan 24 23:43:36 2015	1422164616	0	3368	3369	3252
Sat Jan 24 23:43:35 2015	1422164615	3	3367	3370	3288
Sat Jan 24 23:43:39 2015	1422164619	0	3370	3371	3234
Sat Jan 24 23:43:45 2015	1422164625	0	3370	3371	3261
Sat Jan 24 23:43:50 2015	1422164630	0	3376	3376	3202
Sat Jan 24 23:43:56 2015	1422164636	1	3379	3380	3346
Sat Jan 24 23:43:50 2015	1422164630	0	3381	3381	2910
Sat Jan 24 23:43:35 2015	1422164615	3	3380	3383	3274
Sat Jan 24 23:43:59 2015	1422164639	0	3384	3384	3247
Sat Jan 24 23:43:37 2015	1422164617	0	3384	3384	3383
Sat Jan 24 23:43:41 2015	1422164621	0	3388	3388	3020
Sat Jan 24 23:43:53 2015	1422164633	0	3393	3393	3272
Sat Jan 24 23:44:01 2015	1422164641	0	3393	3393	3335
Sat Jan 24 23:43:48 2015	1422164628	0	3396	3396	3221
